hour(h),DNI(W/m2),Tamb(°C),mdotDemand(kg/s),Tdemand(°C),mdotSF(kg/s),TSF(°C),mdotAux(kg/s),qBoiler(MWh),qAbs(W/m2),Mstor(t),Tstor(°C),mdotStToBoiler(kg/s),mdotSFToBoiler(kg/s),mdotSFToSt(kg/s) 
0,0,10.03,0,350,0,50,0,0,0,149.85,226.85,0,0,0
1,0,10.1,0,350,0,50,0,0,0,149.85,224.816,-0,0,0
2,0,10.18,0,350,0,50,0,0,0,149.85,222.802,-0,0,0
3,0,10.26,0,350,0,50,0,0,0,149.85,220.807,-0,0,0
4,0,10.34,45,350,0,50,3.375,7.76686,0,0,218.832,41.625,0,0
5,0,10.41,45,350,0,50,45,16.2,0,0,10.41,-0,0,0
6,0,10.49,50,350,0,50,50,18,0,0,10.49,-0,0,0
7,0,10.57,70,350,0,50,70,25.2,0,0,10.57,-0,0,0
8,143,11.85,70,350,0,264.286,70,25.2,76.2085,0,11.85,-0,0,0
9,164.63,12.63,100,350,0,350,100,36,72.9627,0,12.63,-0,0,0
10,59.57,13.41,100,350,0,50,100,36,20.8198,0,13.41,-0,0,0
11,52.83,14.19,100,350,0,50,100,36,14.4399,0,14.19,-0,0,0
12,50.8,14.55,90,350,0,50,90,32.4,12.3371,0,14.55,-0,0,0
13,87.45,14.92,80,350,0,135.714,80,28.8,23.9025,0,14.92,-0,0,0
14,381.42,15.29,47,350,2.52584,350,44.4742,16.0107,133.307,0,15.29,-0,2.52584,0
15,0,14.32,53,350,0,50,53,19.08,0,0,14.32,-0,0,0
16,58.54,13.34,79,350,0,135.714,79,28.44,31.1975,0,13.34,-0,0,0
17,0,12.37,50,350,0,50,50,18,0,0,12.37,-0,0,0
18,0,11.57,20,350,0,50,20,7.2,0,0,11.57,-0,0,0
19,0,10.78,0,350,0,50,0,0,0,0,10.78,-0,0,0
20,0,9.98,0,350,0,50,0,0,0,0,9.98,-0,0,0
21,0,9.83001,0,350,0,50,0,0,0,0,9.83001,-0,0,0
22,0,9.69,0,350,0,50,0,0,0,0,9.69,-0,0,0
23,0,9.54,0,350,0,50,0,0,0,0,9.54,-0,0,0
24,0,8.85,0,350,0,50,0,0,0,0,9.54,0,0,0
25,0,8.14999,0,350,0,50,0,0,0,0,8.14999,-0,0,0
26,0,7.45999,0,350,0,50,0,0,0,0,7.45999,-0,0,0
27,0,7.69,0,350,0,50,0,0,0,0,7.69,-0,0,0
28,0,7.92999,45,350,0,50,45,16.2,0,0,7.92999,-0,0,0
29,0,8.16,45,350,0,50,45,16.2,0,0,8.16,-0,0,0
30,0,8.92999,50,350,0,50,50,18,0,0,8.92999,-0,0,0
31,0,9.69,70,350,0,50,70,25.2,0,0,9.69,-0,0,0
32,95.61,10.46,70,350,0,178.571,70,25.2,50.9547,0,10.46,-0,0,0
33,131.66,11.11,100,350,0,264.286,100,36,58.3534,0,11.11,-0,0,0
34,81.14,11.76,100,350,0,264.286,100,36,28.3607,0,11.76,-0,0,0
35,28.57,12.42,100,350,0,50,100,36,7.80988,0,12.42,-0,0,0
36,271.62,13.36,90,350,0,221.429,90,32.4,65.9739,0,13.36,-0,0,0
37,906.97,14.3,80,350,25.7059,350,54.2941,19.5459,247.929,0,14.3,-0,25.7059,0
38,868.62,15.24,47,350,40.6889,350,6.31109,2.27199,303.607,0,15.24,-0,40.6889,0
39,727.71,13.66,53,350,43.9014,350,9.09859,3.27549,322.531,0,13.66,-0,43.9014,0
40,675.9,12.09,79,350,50.311,350,28.689,10.3281,360.216,0,12.09,-0,50.311,0
41,0,10.51,50,350,0,50,50,18,0,0,10.51,-0,0,0
42,0,9.85,20,350,0,50,20,7.2,0,0,9.85,-0,0,0
43,0,9.17999,0,350,0,50,0,0,0,0,9.17999,-0,0,0
44,0,8.52001,0,350,0,50,0,0,0,0,8.52001,-0,0,0
45,0,8.30001,0,350,0,50,0,0,0,0,8.30001,-0,0,0
46,0,8.08999,0,350,0,50,0,0,0,0,8.08999,-0,0,0
47,0,7.86999,0,350,0,50,0,0,0,0,7.86999,-0,0,0
48,0,6.99999,0,350,0,50,0,0,0,0,7.86999,0,0,0
49,0,6.14001,0,350,0,50,0,0,0,0,6.14001,-0,0,0
50,0,5.27001,0,350,0,50,0,0,0,0,5.27001,-0,0,0
51,0,5.08999,0,350,0,50,0,0,0,0,5.08999,-0,0,0
52,0,4.92001,45,350,0,50,45,16.2,0,0,4.92001,-0,0,0
53,0,4.74001,45,350,0,50,45,16.2,0,0,4.74001,-0,0,0
54,0,5.45999,50,350,0,50,50,18,0,0,5.45999,-0,0,0
55,0,6.17999,70,350,0,50,70,25.2,0,0,6.17999,-0,0,0
56,383.06,6.89999,70,350,10.8707,350,59.1293,21.2866,204.176,0,6.89999,-0,10.8707,0
57,715.41,8.89999,100,350,42.9458,350,57.0542,20.5395,317.143,0,8.89999,-0,42.9458,0
58,788.62,10.9,100,350,35.9063,350,64.0937,23.0737,275.733,0,10.9,-0,35.9063,0
59,736.81,12.9,100,350,23.2764,350,76.7236,27.6205,201.512,0,12.9,-0,23.2764,0
60,323.47,13.36,90,350,2.34116,350,87.6588,31.5572,78.6144,5.11591e-14,13.36,0,2.34116,1.42109e-14
61,858.33,13.83,80,350,28.9505,350,51.0495,18.3778,234.747,5.11591e-14,13.83,-0,28.9505,0
62,869.28,14.29,47,350,40.745,350,6.25496,2.25179,303.935,5.11591e-14,14.29,-0,40.745,0
63,870.31,13.51,53,350,54.6893,350,0,0,385.811,6.08156,286.318,0,53,1.68932
64,569.92,12.72,79,350,40.7044,350,36.6063,13.4123,303.775,0,234.538,1.68932,40.7044,0
65,0,11.94,50,350,0,50,50,18,0,0,11.94,-0,0,0
66,0,10.92,20,350,0,50,20,7.2,0,0,10.92,-0,0,0
67,0,9.89999,0,350,0,50,0,0,0,0,9.89999,-0,0,0
68,0,8.88,0,350,0,50,0,0,0,0,8.88,-0,0,0
69,0,7.92999,0,350,0,50,0,0,0,0,7.92999,-0,0,0
70,0,6.97,0,350,0,50,0,0,0,0,6.97,-0,0,0
71,0,6.02001,0,350,0,50,0,0,0,0,6.02001,-0,0,0
72,0,5.42001,0,350,0,50,0,0,0,0,6.02001,0,0,0
73,0,4.82,0,350,0,50,0,0,0,0,4.82,-0,0,0
74,0,4.22,0,350,0,50,0,0,0,0,4.22,-0,0,0
75,0,4.24001,0,350,0,50,0,0,0,0,4.24001,-0,0,0
76,0,4.27001,45,350,0,50,45,16.2,0,0,4.27001,-0,0,0
77,0,4.29,45,350,0,50,45,16.2,0,0,4.29,-0,0,0
78,0,5.24999,50,350,0,50,50,18,0,0,5.24999,-0,0,0
79,0,6.20999,70,350,0,50,70,25.2,0,0,6.20999,-0,0,0
80,71.85,7.17001,70,350,0,135.714,70,25.2,38.3059,0,7.17001,-0,0,0
81,468.17,9.47,100,350,15.1342,350,84.8658,30.5517,207.615,0,9.47,-0,15.1342,0
82,404.4,11.77,100,350,13.0355,350,86.9645,31.3072,141.474,0,11.77,-0,13.0355,0
83,844.52,14.07,100,350,28.3399,350,71.6601,25.7976,231.17,0,14.07,-0,28.3399,0
84,832.55,14.67,90,350,23.4693,350,66.5307,23.9511,202.55,0,14.67,-0,23.4693,0
85,595.54,15.28,80,350,16.7391,350,63.2609,22.7739,163.017,0,15.28,-0,16.7391,0
86,510.08,15.89,47,350,19.3739,350,27.6261,9.94538,178.445,0,15.89,-0,19.3739,0
87,745.51,14.97,53,350,45.291,350,7.70904,2.77526,330.605,0,14.97,-0,45.291,0
88,573.32,14.04,79,350,41.0308,350,37.9692,13.6689,305.658,0,14.04,-0,41.0308,0
89,0,13.12,50,350,0,50,50,18,0,0,13.12,-0,0,0
90,0,11.47,20,350,0,50,20,7.2,0,0,11.47,-0,0,0
91,0,9.82,0,350,0,50,0,0,0,0,9.82,-0,0,0
92,0,8.17001,0,350,0,50,0,0,0,0,8.17001,-0,0,0
93,0,7.55999,0,350,0,50,0,0,0,0,7.55999,-0,0,0
94,0,6.95999,0,350,0,50,0,0,0,0,6.95999,-0,0,0
95,0,6.35,0,350,0,50,0,0,0,0,6.35,-0,0,0
96,0,6.13,0,350,0,50,0,0,0,0,6.35,0,0,0
97,0,5.91,0,350,0,50,0,0,0,0,5.91,-0,0,0
98,0,5.69,0,350,0,50,0,0,0,0,5.69,-0,0,0
99,0,5.79,0,350,0,50,0,0,0,0,5.79,-0,0,0
100,0,5.89999,45,350,0,50,45,16.2,0,0,5.89999,-0,0,0
101,0,5.99999,45,350,0,50,45,16.2,0,0,5.99999,-0,0,0
102,0,7.08001,50,350,0,50,50,18,0,0,7.08001,-0,0,0
103,0,8.14999,70,350,0,50,70,25.2,0,0,8.14999,-0,0,0
104,155.55,9.23,70,350,0,264.286,70,25.2,82.9569,0,9.23,-0,0,0
105,151.7,11.39,100,350,0,350,100,36,67.3074,0,11.39,-0,0,0
106,5.38,13.56,100,350,0,50,100,36,1.88364,0,13.56,-0,0,0
107,26.19,15.73,100,350,0,50,100,36,7.17782,0,15.73,-0,0,0
108,56.27,15.9,90,350,0,50,90,32.4,13.7103,0,15.9,-0,0,0
109,75.95,16.08,80,350,0,50,80,28.8,20.8154,0,16.08,-0,0,0
110,282.97,16.25,47,350,0,307.143,47,16.92,99.0734,0,16.25,-0,0,0
111,0,15.4,53,350,0,50,53,19.08,0,0,15.4,-0,0,0
112,38.79,14.55,79,350,0,50,79,28.44,20.6872,0,14.55,-0,0,0
113,0,13.7,50,350,0,50,50,18,0,0,13.7,-0,0,0
114,0,13.44,20,350,0,50,20,7.2,0,0,13.44,-0,0,0
115,0,13.18,0,350,0,50,0,0,0,0,13.18,-0,0,0
116,0,12.92,0,350,0,50,0,0,0,0,12.92,-0,0,0
117,0,13.06,0,350,0,50,0,0,0,0,13.06,-0,0,0
118,0,13.21,0,350,0,50,0,0,0,0,13.21,-0,0,0
119,0,13.35,0,350,0,50,0,0,0,0,13.35,-0,0,0
120,0,13.27,0,350,0,50,0,0,0,0,13.35,0,0,0
121,0,13.18,0,350,0,50,0,0,0,0,13.18,-0,0,0
122,0,13.1,0,350,0,50,0,0,0,0,13.1,-0,0,0
123,0,13.03,0,350,0,50,0,0,0,0,13.03,-0,0,0
124,0,12.97,45,350,0,50,45,16.2,0,0,12.97,-0,0,0
125,0,12.9,45,350,0,50,45,16.2,0,0,12.9,-0,0,0
126,0,13.18,50,350,0,50,50,18,0,0,13.18,-0,0,0
127,0,13.46,70,350,0,50,70,25.2,0,0,13.46,-0,0,0
128,59.7,13.74,70,350,0,135.714,70,25.2,31.8525,0,13.74,-0,0,0
129,135.02,14.72,100,350,0,264.286,100,36,59.9465,0,14.72,-0,0,0
130,34.89,15.7,100,350,0,50,100,36,12.2285,0,15.7,-0,0,0
131,26.12,16.68,100,350,0,50,100,36,7.17012,0,16.68,-0,0,0
132,32.05,16.84,90,350,0,50,90,32.4,7.82425,0,16.84,-0,0,0
133,533.57,17.01,80,350,1.10157,350,78.8984,28.4034,146.469,0,17.01,-0,1.10157,0
134,548.98,17.17,47,350,21.7418,350,25.2582,9.09296,192.411,0,17.17,-0,21.7418,0
135,202.78,16.23,53,350,4.29301,350,48.707,17.5345,90.0307,0,16.23,-0,4.29301,0
136,398.81,15.3,79,350,25.2051,350,53.7949,19.3662,212.782,0,15.3,-0,25.2051,0
137,0,14.36,50,350,0,50,50,18,0,0,14.36,-0,0,0
138,0,13.91,20,350,0,50,20,7.2,0,0,13.91,-0,0,0
139,0,13.45,0,350,0,50,0,0,0,0,13.45,-0,0,0
140,0,13,0,350,0,50,0,0,0,0,13,-0,0,0
141,0,12.98,0,350,0,50,0,0,0,0,12.98,-0,0,0
142,0,12.96,0,350,0,50,0,0,0,0,12.96,-0,0,0
143,0,12.94,0,350,0,50,0,0,0,0,12.94,-0,0,0
144,0,12.89,0,350,0,50,0,0,0,0,12.94,0,0,0
145,0,12.84,0,350,0,50,0,0,0,0,12.84,-0,0,0
146,0,12.79,0,350,0,50,0,0,0,0,12.79,-0,0,0
147,0,12.97,0,350,0,50,0,0,0,0,12.97,-0,0,0
148,0,13.15,45,350,0,50,45,16.2,0,0,13.15,-0,0,0
149,0,13.33,45,350,0,50,45,16.2,0,0,13.33,-0,0,0
150,0,13.57,50,350,0,50,50,18,0,0,13.57,-0,0,0
151,0,13.82,70,350,0,50,70,25.2,0,0,13.82,-0,0,0
152,23.8,14.06,70,350,0,50,70,25.2,12.7051,0,14.06,-0,0,0
153,0,14.46,100,350,0,50,100,36,0,0,14.46,-0,0,0
154,0,14.87,100,350,0,50,100,36,0,0,14.87,-0,0,0
155,0,15.28,100,350,0,50,100,36,0,0,15.28,-0,0,0
156,147.7,15,90,350,0,135.714,90,32.4,36.1435,0,15,-0,0,0
157,136.39,14.72,80,350,0,221.429,80,28.8,37.5137,0,14.72,-0,0,0
158,259.1,14.44,47,350,0,350,47,16.92,90.9285,0,14.44,-0,0,0
159,521.26,14.01,53,350,28.4021,350,24.5979,8.85523,231.619,0,14.01,-0,28.4021,0
160,10.77,13.57,79,350,0,50,79,28.44,5.74931,0,13.57,-0,0,0
161,0,13.14,50,350,0,50,50,18,0,0,13.14,-0,0,0
162,0,12.85,20,350,0,50,20,7.2,0,0,12.85,-0,0,0
163,0,12.55,0,350,0,50,0,0,0,0,12.55,-0,0,0
164,0,12.26,0,350,0,50,0,0,0,0,12.26,-0,0,0
165,0,12.31,0,350,0,50,0,0,0,0,12.31,-0,0,0
166,0,12.37,0,350,0,50,0,0,0,0,12.37,-0,0,0
167,0,12.42,0,350,0,50,0,0,0,0,12.42,-0,0,0
168,0,12.29,0,350,0,50,0,0,0,0,12.42,0,0,0
169,0,12.17,0,350,0,50,0,0,0,0,12.17,-0,0,0
170,0,12.04,0,350,0,50,0,0,0,0,12.04,-0,0,0
171,0,11.96,0,350,0,50,0,0,0,0,11.96,-0,0,0
172,0,11.89,45,350,0,50,45,16.2,0,0,11.89,-0,0,0
173,0,11.81,45,350,0,50,45,16.2,0,0,11.81,-0,0,0
174,0,12.21,50,350,0,50,50,18,0,0,12.21,-0,0,0
175,0,12.62,70,350,0,50,70,25.2,0,0,12.62,-0,0,0
176,414.65,13.02,70,350,13.8602,350,56.1398,20.2103,221.49,0,13.02,-0,13.8602,0
177,638.91,14.44,100,350,37.3592,350,62.6408,22.5507,284.171,0,14.44,-0,37.3592,0
178,651.29,15.87,100,350,27.9529,350,72.0471,25.937,228.913,0,15.87,-0,27.9529,0
179,17.3,17.3,100,350,0,50,100,36,4.76942,0,17.3,-0,0,0
180,900.84,17,90,350,13.8113,350,76.1887,27.4279,221.065,0,17,-0,13.8113,0
181,585.67,16.7,80,350,16.4618,350,63.5382,22.8737,161.463,0,16.7,-0,16.4618,0
182,561.26,16.4,47,350,22.5592,350,24.4408,8.79867,197.27,0,16.4,-0,22.5592,0
183,81.64,15.47,53,350,0,350,53,19.08,36.3114,0,15.47,-0,0,0
184,0,14.55,79,350,0,50,79,28.44,0,0,14.55,-0,0,0
185,0,13.62,50,350,0,50,50,18,0,0,13.62,-0,0,0
186,0,13.14,20,350,0,50,20,7.2,0,0,13.14,-0,0,0
187,0,12.66,0,350,0,50,0,0,0,0,12.66,-0,0,0
188,0,12.18,0,350,0,50,0,0,0,0,12.18,-0,0,0
189,0,12.14,0,350,0,50,0,0,0,0,12.14,-0,0,0
190,0,12.11,0,350,0,50,0,0,0,0,12.11,-0,0,0
191,0,12.07,0,350,0,50,0,0,0,0,12.07,-0,0,0
192,0,11.55,0,350,0,50,0,0,0,0,12.07,0,0,0
193,0,11.03,0,350,0,50,0,0,0,0,11.03,-0,0,0
194,0,10.51,0,350,0,50,0,0,0,0,10.51,-0,0,0
195,0,10.39,0,350,0,50,0,0,0,0,10.39,-0,0,0
196,0,10.28,45,350,0,50,45,16.2,0,0,10.28,-0,0,0
197,0,10.16,45,350,0,50,45,16.2,0,0,10.16,-0,0,0
198,0,10.58,50,350,0,50,50,18,0,0,10.58,-0,0,0
199,0,11,70,350,0,50,70,25.2,0,0,11,-0,0,0
200,447.61,11.42,70,350,16.8739,350,53.1261,19.1254,239.269,0,11.42,-0,16.8739,0
201,154.12,11.96,100,350,0.612159,350,99.3878,35.7796,68.6252,0,11.96,-0,0.612159,0
202,207.53,12.51,100,350,1.374,350,98.626,35.5054,73.0707,0,12.51,-0,1.374,0
203,344.87,13.06,100,350,5.17158,350,94.8284,34.1382,95.3325,0,13.06,-0,5.17158,0
204,53.48,13.29,90,350,0,50,90,32.4,13.1666,0,13.29,-0,0,0
205,44.38,13.53,80,350,0,50,80,28.8,12.268,0,13.53,-0,0,0
206,457.36,13.77,47,350,3.56163,350,43.4384,15.6378,161.035,0,13.77,-0,3.56163,0
207,173.93,13.17,53,350,2.12785,350,50.8722,18.314,77.446,0,13.17,-0,2.12785,0
208,83.63,12.58,79,350,0,350,79,28.44,44.7043,0,12.58,-0,0,0
209,0,11.98,50,350,0,50,50,18,0,0,11.98,-0,0,0
210,0,10.98,20,350,0,50,20,7.2,0,0,10.98,-0,0,0
211,0,9.97,0,350,0,50,0,0,0,0,9.97,-0,0,0
212,0,8.97,0,350,0,50,0,0,0,0,8.97,-0,0,0
213,0,8.36999,0,350,0,50,0,0,0,0,8.36999,-0,0,0
214,0,7.77001,0,350,0,50,0,0,0,0,7.77001,-0,0,0
215,0,7.17001,0,350,0,50,0,0,0,0,7.17001,-0,0,0
216,0,6.94,0,350,0,50,0,0,0,0,7.17001,0,0,0
217,0,6.70999,0,350,0,50,0,0,0,0,6.70999,-0,0,0
218,0,6.48,0,350,0,50,0,0,0,0,6.48,-0,0,0
219,0,6.17999,0,350,0,50,0,0,0,0,6.17999,-0,0,0
220,0,5.88,45,350,0,50,45,16.2,0,0,5.88,-0,0,0
221,0,5.58001,45,350,0,50,45,16.2,0,0,5.58001,-0,0,0
222,0,6.14001,50,350,0,50,50,18,0,0,6.14001,-0,0,0
223,0,6.69,70,350,0,50,70,25.2,0,0,6.69,-0,0,0
224,315.84,7.24999,70,350,4.89586,350,65.1041,23.4375,168.971,0,7.24999,-0,4.89586,0
225,355.56,9.02001,100,350,15.9362,350,84.0638,30.263,158.521,0,9.02001,-0,15.9362,0
226,323.47,10.8,100,350,8.38215,350,91.6178,32.9824,114.12,0,10.8,-0,8.38215,0
227,489.64,12.58,100,350,12.0816,350,87.9184,31.6506,135.763,0,12.58,-0,12.0816,0
228,935.08,13.01,90,350,28.3201,350,61.6799,22.2048,231.061,0,13.01,-0,28.3201,0
229,897.33,13.45,80,350,31.3444,350,48.6556,17.516,248.804,0,13.45,-0,31.3444,0
230,877.37,13.88,47,350,41.694,350,5.30599,1.91015,309.537,0,13.88,-0,41.694,0
231,785.02,13.12,53,350,48.5798,350,4.42023,1.59128,349.989,0,13.12,-0,48.5798,0
232,602.35,12.37,79,350,43.8463,350,35.1537,12.6553,322.25,0,12.37,-0,43.8463,0
233,0,11.61,50,350,0,50,50,18,0,0,11.61,-0,0,0
234,0,11.2,20,350,0,50,20,7.2,0,0,11.2,-0,0,0
235,0,10.79,0,350,0,50,0,0,0,0,10.79,-0,0,0
236,0,10.38,0,350,0,50,0,0,0,0,10.38,-0,0,0
237,0,10.26,0,350,0,50,0,0,0,0,10.26,-0,0,0
238,0,10.15,0,350,0,50,0,0,0,0,10.15,-0,0,0
239,0,10.03,0,350,0,50,0,0,0,0,10.03,-0,0,0
240,0,9.61001,0,350,0,50,0,0,0,0,10.03,0,0,0
241,0,9.20001,0,350,0,50,0,0,0,0,9.20001,-0,0,0
242,0,8.77999,0,350,0,50,0,0,0,0,8.77999,-0,0,0
243,0,8.85,0,350,0,50,0,0,0,0,8.85,-0,0,0
244,0,8.92001,45,350,0,50,45,16.2,0,0,8.92001,-0,0,0
245,0,8.99001,45,350,0,50,45,16.2,0,0,8.99001,-0,0,0
246,0,9.33001,50,350,0,50,50,18,0,0,9.33001,-0,0,0
247,0,9.67001,70,350,0,50,70,25.2,0,0,9.67001,-0,0,0
248,104.43,10.01,70,350,0,178.571,70,25.2,55.9201,0,10.01,-0,0,0
249,20.12,11.78,100,350,0,50,100,36,8.98287,0,11.78,-0,0,0
250,0,13.56,100,350,0,50,100,36,0,0,13.56,-0,0,0
251,0,15.34,100,350,0,50,100,36,0,0,15.34,-0,0,0
252,0,15.75,90,350,0,50,90,32.4,0,0,15.75,-0,0,0
253,191.75,16.17,80,350,0,178.571,80,28.8,53.3468,0,16.17,-0,0,0
254,395.3,16.59,47,350,5.46233,350,41.5377,14.9536,139.773,0,16.59,-0,5.46233,0
255,745.86,15.38,53,350,45.6979,350,7.30213,2.62877,333,0,15.38,-0,45.6979,0
256,542.54,14.17,79,350,38.451,350,40.549,14.5976,290.519,0,14.17,-0,38.451,0
257,0,12.96,50,350,0,50,50,18,0,0,12.96,-0,0,0
258,0,12,20,350,0,50,20,7.2,0,0,12,-0,0,0
259,0,11.05,0,350,0,50,0,0,0,0,11.05,-0,0,0
260,0,10.09,0,350,0,50,0,0,0,0,10.09,-0,0,0
261,0,9.98,0,350,0,50,0,0,0,0,9.98,-0,0,0
262,0,9.88,0,350,0,50,0,0,0,0,9.88,-0,0,0
263,0,9.77001,0,350,0,50,0,0,0,0,9.77001,-0,0,0
264,0,8.91,0,350,0,50,0,0,0,0,9.77001,0,0,0
265,0,8.05999,0,350,0,50,0,0,0,0,8.05999,-0,0,0
266,0,7.20001,0,350,0,50,0,0,0,0,7.20001,-0,0,0
267,0,7.01,0,350,0,50,0,0,0,0,7.01,-0,0,0
268,0,6.83001,45,350,0,50,45,16.2,0,0,6.83001,-0,0,0
269,0,6.64001,45,350,0,50,45,16.2,0,0,6.64001,-0,0,0
270,0,7.22,50,350,0,50,50,18,0,0,7.22,-0,0,0
271,0,7.80001,70,350,0,50,70,25.2,0,0,7.80001,-0,0,0
272,459.86,8.38,70,350,18.0943,350,51.9057,18.6861,246.494,0,8.38,-0,18.0943,0
273,644.77,10.24,100,350,38.0461,350,61.9539,22.3034,288.316,0,10.24,-0,38.0461,0
274,323.58,12.11,100,350,8.47871,350,91.5213,32.9477,114.695,0,12.11,-0,8.47871,0
275,8.52,13.98,100,350,0,50,100,36,2.37919,0,13.98,-0,0,0
276,7.82,14.83,90,350,0,50,90,32.4,1.94898,0,14.83,-0,0,0
277,97.37,15.69,80,350,0,135.714,80,28.8,27.1903,0,15.69,-0,0,0
278,246.9,16.54,47,350,0,307.143,47,16.92,87.515,0,16.54,-0,0,0
279,587.38,14.81,53,350,31.8778,350,21.1222,7.60398,262.653,0,14.81,-0,31.8778,0
280,614.17,13.07,79,350,45.0324,350,33.9676,12.2283,329.208,0,13.07,-0,45.0324,0
281,0,11.34,50,350,0,50,50,18,0,0,11.34,-0,0,0
282,0,10.26,20,350,0,50,20,7.2,0,0,10.26,-0,0,0
283,0,9.19,0,350,0,50,0,0,0,0,9.19,-0,0,0
284,0,8.11001,0,350,0,50,0,0,0,0,8.11001,-0,0,0
285,0,7.67999,0,350,0,50,0,0,0,0,7.67999,-0,0,0
286,0,7.26,0,350,0,50,0,0,0,0,7.26,-0,0,0
287,0,6.83001,0,350,0,50,0,0,0,0,6.83001,-0,0,0
288,0,6.70001,0,350,0,50,0,0,0,0,6.83001,0,0,0
289,0,6.55999,0,350,0,50,0,0,0,0,6.55999,-0,0,0
290,0,6.42999,0,350,0,50,0,0,0,0,6.42999,-0,0,0
291,0,6.41,0,350,0,50,0,0,0,0,6.41,-0,0,0
292,0,6.39999,45,350,0,50,45,16.2,0,0,6.39999,-0,0,0
293,0,6.38,45,350,0,50,45,16.2,0,0,6.38,-0,0,0
294,0,7.27999,50,350,0,50,50,18,0,0,7.27999,-0,0,0
295,0,8.19,70,350,0,50,70,25.2,0,0,8.19,-0,0,0
296,386.85,9.08999,70,350,11.4664,350,58.5336,21.0721,207.589,0,9.08999,-0,11.4664,0
297,669.43,10.99,100,350,40.0138,350,59.9862,21.595,299.852,0,10.99,-0,40.0138,0
298,825.1,12.89,100,350,38.9045,350,61.0955,21.9944,293.245,0,12.89,-0,38.9045,0
299,882.48,14.8,100,350,31.1148,350,68.8852,24.7987,247.431,0,14.8,-0,31.1148,0
300,905.12,15.45,90,350,27.5861,350,62.4139,22.469,226.687,0,15.45,-0,27.5861,0
301,883.54,16.11,80,350,31.1774,350,48.8226,17.5762,247.729,0,16.11,-0,31.1774,0
302,849.59,16.77,47,350,40.422,350,6.57805,2.3681,301.949,0,16.77,-0,40.422,0
303,761.74,15.13,53,350,47.096,350,5.90403,2.12545,341.199,0,15.13,-0,47.096,0
304,614.6,13.5,79,350,45.1402,350,33.8598,12.1895,329.802,0,13.5,-0,45.1402,0
305,0,11.86,50,350,0,50,50,18,0,0,11.86,-0,0,0
306,0,11.16,20,350,0,50,20,7.2,0,0,11.16,-0,0,0
307,0,10.45,0,350,0,50,0,0,0,0,10.45,-0,0,0
308,0,9.74999,0,350,0,50,0,0,0,0,9.74999,-0,0,0
309,0,9.88,0,350,0,50,0,0,0,0,9.88,-0,0,0
310,0,10.02,0,350,0,50,0,0,0,0,10.02,-0,0,0
311,0,10.15,0,350,0,50,0,0,0,0,10.15,-0,0,0
312,0,9.41,0,350,0,50,0,0,0,0,10.15,0,0,0
313,0,8.67999,0,350,0,50,0,0,0,0,8.67999,-0,0,0
314,0,7.94,0,350,0,50,0,0,0,0,7.94,-0,0,0
315,0,7.95999,0,350,0,50,0,0,0,0,7.95999,-0,0,0
316,0,7.98,45,350,0,50,45,16.2,0,0,7.98,-0,0,0
317,0,7.99999,45,350,0,50,45,16.2,0,0,7.99999,-0,0,0
318,0,8.74001,50,350,0,50,50,18,0,0,8.74001,-0,0,0
319,0,9.48,70,350,0,50,70,25.2,0,0,9.48,-0,0,0
320,382.45,10.22,70,350,11.1332,350,58.8668,21.1921,205.473,0,10.22,-0,11.1332,0
321,645.98,11.62,100,350,38.3366,350,61.6634,22.1988,289.881,0,11.62,-0,38.3366,0
322,795.26,13.02,100,350,37.2536,350,62.7464,22.5887,283.459,0,13.02,-0,37.2536,0
323,865.84,14.43,100,350,30.5125,350,69.4875,25.0155,243.831,0,14.43,-0,30.5125,0
324,889.15,15,90,350,27.1102,350,62.8898,22.6403,223.864,0,15,-0,27.1102,0
325,868.89,15.58,80,350,30.6595,350,49.3405,17.7626,244.69,0,15.58,-0,30.6595,0
326,868.3,16.15,47,350,41.7028,350,5.29724,1.90701,309.493,0,16.15,-0,41.7028,0
327,766.35,15.63,53,350,47.5602,350,5.4398,1.95833,343.897,0,15.63,-0,47.5602,0
328,595.45,15.1,79,350,43.4682,350,35.5318,12.7915,319.909,0,15.1,-0,43.4682,0
329,0,14.58,50,350,0,50,50,18,0,0,14.58,-0,0,0
330,0,13.7,20,350,0,50,20,7.2,0,0,13.7,-0,0,0
331,0,12.81,0,350,0,50,0,0,0,0,12.81,-0,0,0
332,0,11.93,0,350,0,50,0,0,0,0,11.93,-0,0,0
333,0,10.72,0,350,0,50,0,0,0,0,10.72,-0,0,0
334,0,9.49999,0,350,0,50,0,0,0,0,9.49999,-0,0,0
335,0,8.29,0,350,0,50,0,0,0,0,8.29,-0,0,0
336,0,7.39999,0,350,0,50,0,0,0,0,8.29,0,0,0
337,0,6.51,0,350,0,50,0,0,0,0,6.51,-0,0,0
338,0,5.61999,0,350,0,50,0,0,0,0,5.61999,-0,0,0
339,0,5.6,0,350,0,50,0,0,0,0,5.6,-0,0,0
340,0,5.58001,45,350,0,50,45,16.2,0,0,5.58001,-0,0,0
341,0,5.55999,45,350,0,50,45,16.2,0,0,5.55999,-0,0,0
342,0,5.92001,50,350,0,50,50,18,0,0,5.92001,-0,0,0
343,0,6.27001,70,350,0,50,70,25.2,0,0,6.27001,-0,0,0
344,366.61,6.63,70,350,9.676,350,60.324,21.7166,197.217,0,6.63,-0,9.676,0
